group,short_label,label,program,program_label,path_coverage,width_ratio,n_seeds
PEMS03_stae,P03/A,PeMS03 / STAEformer,uncond,Pointwise,0.5716586142510612,1.0,3
PEMS03_stae,P03/A,PeMS03 / STAEformer,path_global,Path maximum,0.8799721580602178,1.940135806555167,3
PEMS03_stae,P03/A,PeMS03 / STAEformer,bonferroni_aH,Bonferroni,0.9475671583196773,2.5846289034756493,3
PEMS03_stae,P03/A,PeMS03 / STAEformer,nh_path,NH,0.8700428319198745,1.7013482606232215,3
PEMS03_stae,P03/A,PeMS03 / STAEformer,g0,Learned $g_0$,0.8700211950067138,1.5751559720752004,3
PEMS03_stae,P03/A,PeMS03 / STAEformer,g1,Learned $g_1$,0.8660326684383265,1.5578822892922704,3
PEMS04_stae,P04/A,PeMS04 / STAEformer,uncond,Pointwise,0.6289484882146312,1.0,3
PEMS04_stae,P04/A,PeMS04 / STAEformer,path_global,Path maximum,0.9011767282456213,2.091308302295751,3
PEMS04_stae,P04/A,PeMS04 / STAEformer,bonferroni_aH,Bonferroni,0.9502859938953769,2.8071858782440815,3
PEMS04_stae,P04/A,PeMS04 / STAEformer,nh_path,NH,0.8976091212881137,1.7628177298722683,3
PEMS04_stae,P04/A,PeMS04 / STAEformer,g0,Learned $g_0$,0.8941164903086971,1.5474121208816112,3
PEMS04_stae,P04/A,PeMS04 / STAEformer,g1,Learned $g_1$,0.8926672835742758,1.524629611964803,3
PEMS08_stae,P08/A,PeMS08 / STAEformer,uncond,Pointwise,0.6314801853482871,1.0,3
PEMS08_stae,P08/A,PeMS08 / STAEformer,path_global,Path maximum,0.9024549382860754,1.9144588514385408,3
PEMS08_stae,P08/A,PeMS08 / STAEformer,bonferroni_aH,Bonferroni,0.9710809118278417,3.057834611860676,3
PEMS08_stae,P08/A,PeMS08 / STAEformer,nh_path,NH,0.9054097498735805,1.5495322012382338,3
PEMS08_stae,P08/A,PeMS08 / STAEformer,g0,Learned $g_0$,0.9088110762457483,1.5035026923906059,3
PEMS08_stae,P08/A,PeMS08 / STAEformer,g1,Learned $g_1$,0.9081798159689315,1.4852446733375166,3
PEMS08_stid,P08/I,PeMS08 / STID,uncond,Pointwise,0.613995224524378,1.0,3
PEMS08_stid,P08/I,PeMS08 / STID,path_global,Path maximum,0.9015797693081365,1.9072907308401363,3
PEMS08_stid,P08/I,PeMS08 / STID,bonferroni_aH,Bonferroni,0.9679095405697752,2.850272402884493,3
PEMS08_stid,P08/I,PeMS08 / STID,nh_path,NH,0.8981862569447002,1.7416513675204852,3
PEMS08_stid,P08/I,PeMS08 / STID,g0,Learned $g_0$,0.9025894508649549,1.5368659430129448,3
PEMS08_stid,P08/I,PeMS08 / STID,g1,Learned $g_1$,0.9016729792694349,1.5192926251451968,3
